cityid,city,county
3,Acampo,San Joaquin
4,Acton,Los Angeles
5,Adelaida,San Luis Obispo
6,Adelanto,San Bernardino
7,Adin,Modoc
8,Agoura,Los Angeles
9,Agoura Hills,Los Angeles
10,Agua Caliente,Sonoma
11,Agua Caliente Springs,San Diego
12,Agua Dulce,Los Angeles
13,Aguanga,Riverside
14,Ahwahnee,Madera
15,Al Tahoe,El Dorado
16,Alameda,Alameda
17,Alamo,Contra Costa
18,Albany,Alameda
19,Alberhill,Riverside
20,Albion,Mendocino
21,Alderpoint,Humboldt
22,Alhambra,Los Angeles
23,Aliso Viejo,Orange
24,Alleghany,Sierra
25,Almaden Valley,Santa Clara
26,Almanor,Plumas
27,Almondale,Los Angeles
28,Alondra,Los Angeles
29,Alpaugh,Tulare
30,Alpine,San Diego
31,Alta,Placer
32,Alta Loma,San Bernardino
33,Altadena,Los Angeles
34,Altaville,Calaveras
35,Alton,Humboldt
36,Alturas,Modoc
37,Alviso,Santa Clara
38,Amador City,Amador
39,Amargosa,Inyo
40,Amboy,San Bernardino
41,American Canyon,Napa
42,Anaheim,Orange
43,Anderson,Shasta
44,Angels Camp,Calaveras
45,Angelus Oaks,San Bernardino
46,Angwin,Napa
47,Annapolis,Sonoma
48,Antelope,Sacramento
49,Antelope Acres,Los Angeles
50,Antioch,Contra Costa
51,Anza,Riverside
52,Apple Valley,San Bernardino
53,Applegate,Placer
54,Aptos,Santa Cruz
55,Arbuckle,Colusa
56,Arcadia,Los Angeles
57,Arcata,Humboldt
58,Argus,San Bernardino
59,Arleta,Los Angeles
60,Arlington,Riverside
61,Armona,Kings
62,Army Terminal,Alameda
63,Arnold,Calaveras
64,Aromas,Monterey
65,Arrowbear Lake,San Bernardino
66,Arrowhead Highlands,San Bernardino
67,Arroyo Grande,San Luis Obispo
68,Artesia,Los Angeles
69,Artois,Glenn
70,Arvin,Kern
71,Ashland,Alameda
72,Asti,Sonoma
73,Atascadero,San Luis Obispo
74,Athens,Los Angeles
75,Atherton,San Mateo
76,Atwater,Merced
77,Atwood,Orange
78,Auberry,Fresno
79,Auburn,Placer
80,Avalon,Los Angeles
81,Avenal,Kings
82,Avery,Calaveras
83,Avila Beach,San Luis Obispo
84,Azusa,Los Angeles
85,Badger,Tulare
86,Bailey,Los Angeles
87,Baker,San Bernardino
88,Bakersfield,Kern
89,Balboa,Orange
90,Balboa Island,Orange
91,Balboa Park,San Diego
92,Baldwin Park,Los Angeles
93,Ballard,Santa Barbara
